PRAD,HR,P-value,Hr-Inv-lst,PCPG,HR,P-value,Hr-Inv-lst,PAAD,HR,P-value,Hr-Inv-lst,OV,HR,P-value,Hr-Inv-lst,THYM,HR,P-value,Hr-Inv-lst,UVM,HR,P-value,Hr-Inv-lst,UCEC,HR,P-value,Hr-Inv-lst,UCS,HR,P-value,Hr-Inv-lst,THCA,HR,P-value,Hr-Inv-lst,TGCT,HR,P-value,Hr-Inv-lst,STAD,HR,P-value,Hr-Inv-lst,SKCM,HR,P-value,Hr-Inv-lst,SARC,HR,P-value,Hr-Inv-lst,READ,HR,P-value,Hr-Inv-lst,LUAD,HR,P-value,Hr-Inv-lst,MESO,HR,P-value,Hr-Inv-lst,LUSC,HR,P-value,Hr-Inv-lst,LIHC,HR,P-value,Hr-Inv-lst,LGG,HR,P-value,Hr-Inv-lst,LAML,HR,P-value,Hr-Inv-lst,KIRP,HR,P-value,Hr-Inv-lst,KIRC,HR,P-value,Hr-Inv-lst,KICH,HR,P-value,Hr-Inv-lst,HNSC,HR,P-value,Hr-Inv-lst,GBM,HR,P-value,Hr-Inv-lst,ESCA,HR,P-value,Hr-Inv-lst,DLBC,HR,P-value,Hr-Inv-lst,CHOL,HR,P-value,Hr-Inv-lst,CESC,HR,P-value,Hr-Inv-lst,BRCA,HR,P-value,Hr-Inv-lst,BLCA,HR,P-value,Hr-Inv-lst,ACC,HR,P-value,Hr-Inv-lst,COAD,HR,P-value,Hr-Inv-lst
ADD1,0.3355037,0.18113184,2.98059306,ADD1,0.51966812,0.45640353,1.92430509,ADD1,0.54028887,0.02119949,1.85086173,ADD1,0.89863583,0.49046661,1.11279783,ADD1,0.222865509,0.172044835,4.487011049,ADD1,0.24421472,0.03298848,4.09475727,ADD1,1.1771562,0.76995276,0.84950493,ADD1,0.49979024,0.06108492,2.00083939,ADD1,0.85764572,0.77546169,1.16598262,ADD1,1.817708,0.62586028,0.55014337,ADD1,1.45803035,0.09292031,0.68585678,ADD1,1.44980266,0.02275802,0.68974905,ADD1,0.8913855,0.6212305,1.12184907,ADD1,2.310744478,0.310330301,0.432760961,ADD1,1.031763072,0.8636323,0.969214762,ADD1,0.6134234,0.07627087,1.6301954,ADD1,1.46524664,0.01900169,0.68247896,ADD1,0.903802425,0.637471305,1.106436509,ADD1,0.446790777,0.000207312,2.238184069,ADD1,1.632600862,0.009615233,0.612519584,ADD1,0.690763942,0.307469287,1.447672554,ADD1,0.453534359,2.12E-06,2.204904612,ADD1,0.801593029,0.741799083,1.247515838,ADD1,0.890739167,0.459556449,1.122663106,ADD1,1.119804026,0.562430486,0.893013399,ADD1,0.644802493,0.104276779,1.55086249,ADD1,3.279373157,0.30477307,0.304936325,ADD1,0.809248474,0.677153571,1.235714409,ADD1,1.500129002,0.122833088,0.666609337,ADD1,0.846017463,0.39861554,1.182008697,ADD1,0.874152747,0.485599494,1.143964831,ADD1,0.599533236,0.221201455,1.667964242,ADD1,0.534936344,0.101094386,1.869381302
AIFM3,0.7779724,0.73350541,1.28539265,AIFM3,0.97005442,0.97068345,1.03087,AIFM3,0.55607708,0.02820925,1.79831184,AIFM3,1.06461231,0.68548899,0.93930907,AIFM3,1.455627837,0.662518698,0.686988786,AIFM3,1.40545793,0.55179134,0.71151187,AIFM3,1.34004721,0.60948732,0.74624237,AIFM3,1.53806564,0.23689461,0.65016731,AIFM3,0.81944278,0.71163718,1.22034145,AIFM3,2.14784346,0.53256405,0.46558328,AIFM3,0.89698002,0.62951665,1.11485204,AIFM3,0.84809192,0.31199942,1.17911746,AIFM3,0.81462964,0.37752644,1.2275517,AIFM3,1.908089682,0.441872046,0.524084381,AIFM3,0.714850354,0.06795107,1.398894181,AIFM3,0.69773654,0.19355441,1.43320572,AIFM3,0.83124202,0.26892537,1.20301907,AIFM3,1.092011056,0.680502194,0.915741644,AIFM3,0.776023764,0.232393093,1.288620332,AIFM3,1.077921529,0.690512737,0.927711315,AIFM3,0.699701593,0.322195399,1.429180683,AIFM3,1.593830552,0.004225389,0.627419269,AIFM3,3.701092488,0.102891936,0.270190492,AIFM3,1.074634839,0.643909408,0.930548651,AIFM3,1.001642596,0.993403241,0.998360098,AIFM3,1.033904108,0.901591047,0.967207686,AIFM3,1521972867,0.999161852,6.57E-10,AIFM3,1.339752918,0.565226383,0.746406286,AIFM3,0.976432792,0.926657903,1.024136027,AIFM3,0.847222486,0.409834356,1.180327501,AIFM3,0.628882016,0.018423289,1.590123385,AIFM3,1.089916921,0.831523642,0.917501124,AIFM3,0.773242096,0.426823159,1.293256026
ANKH,1.73470025,0.47768503,0.57646847,ANKH,0.48213332,0.40508709,2.07411509,ANKH,0.63267932,0.08443551,1.58057956,ANKH,1.02142498,0.89193492,0.97902442,ANKH,1.296258882,0.751920981,0.771450837,ANKH,0.75918858,0.62267555,1.31719579,ANKH,0.40925801,0.13853328,2.44344637,ANKH,0.93952189,0.86297583,1.06437115,ANKH,1.03845043,0.94377707,0.96297326,ANKH,0.44887309,0.51329598,2.22780116,ANKH,1.05915508,0.80299677,0.94414881,ANKH,0.90734493,0.54855194,1.1021167,ANKH,0.99156809,0.97104464,1.00850361,ANKH,0.427517491,0.334894016,2.339085585,ANKH,1.39576779,0.06873252,0.716451552,ANKH,1.09541633,0.73445984,0.91289492,ANKH,1.02906991,0.85910406,0.97175128,ANKH,1.546686863,0.045865267,0.646543282,ANKH,1.048810223,0.819581605,0.953461339,ANKH,0.916370884,0.641712721,1.09126121,ANKH,1.378081478,0.373409203,0.725646499,ANKH,0.747335392,0.068216906,1.338087304,ANKH,0.826041073,0.775788482,1.210593556,ANKH,0.720516121,0.035836673,1.387893999,ANKH,1.542060988,0.035804566,0.648482782,ANKH,0.784897317,0.369531821,1.274052005,ANKH,0.351818004,0.366080429,2.8423787,ANKH,0.850487089,0.757424181,1.175796802,ANKH,1.436778985,0.165347978,0.696001271,ANKH,1.133948401,0.522542574,0.881874342,ANKH,1.322154677,0.149057816,0.756341159,ANKH,1.262076567,0.561469315,0.792344955,ANKH,0.812968344,0.521879634,1.230060195
ANXA1,0.68986526,0.61560934,1.44955842,ANXA1,0.96045487,0.96099121,1.04117333,ANXA1,1.61155183,0.07430864,0.62051991,ANXA1,0.95801986,0.78333688,1.04381969,ANXA1,2.455649407,0.301892141,0.407224255,ANXA1,4.22955255,0.03117842,0.23643163,ANXA1,0.52788547,0.29791507,1.89435031,ANXA1,1.48531105,0.28186219,0.67325965,ANXA1,0.14102775,0.00282255,7.09080325,ANXA1,1.85463325,0.6141002,0.53919016,ANXA1,1.17211662,0.48180178,0.85315742,ANXA1,0.6813408,0.01900253,1.46769429,ANXA1,0.71857982,0.15575136,1.39163385,ANXA1,0.657664326,0.700685475,1.520532527,ANXA1,1.378380935,0.080308418,0.72548885,ANXA1,1.26252777,0.3849773,0.79206178,ANXA1,0.99522549,0.97627715,1.00479742,ANXA1,0.951466401,0.815146788,1.051009263,ANXA1,2.834454879,3.76E-06,0.352801524,ANXA1,1.073103469,0.706666787,0.931876588,ANXA1,1.180323659,0.640282141,0.847225244,ANXA1,1.187210277,0.280561237,0.842310768,ANXA1,0.523342894,0.360017552,1.910793116,ANXA1,1.173669321,0.306066133,0.852028747,ANXA1,1.123143812,0.551035937,0.89035793,ANXA1,1.063601801,0.821708972,0.940201492,ANXA1,1.051606922,0.959975253,0.950925654,ANXA1,1.032049799,0.953374616,0.968945492,ANXA1,0.827973884,0.468739792,1.207767562,ANXA1,0.739717003,0.131637275,1.351868345,ANXA1,1.635985185,0.011650636,0.611252479,ANXA1,0.507193408,0.114092402,1.971634457,ANXA1,1.361916908,0.336945449,0.734259186
APP,0.45260198,0.33327294,2.20944679,APP,0.28454264,0.26096656,3.51441176,APP,1.04113732,0.87827116,0.9604881,APP,1.14570943,0.38233416,0.87282165,APP,0.519498187,0.451744956,1.924934532,APP,3.52755085,0.05962728,0.2834828,APP,0.73969909,0.59778189,1.35190108,APP,1.01743461,0.96193758,0.98286415,APP,0.34019218,0.09945873,2.93951494,APP,0.38717864,0.43991526,2.58278708,APP,1.0666989,0.77720235,0.93747167,APP,0.9178438,0.59711963,1.08951,APP,1.63404327,0.03636208,0.6119789,APP,2.079564184,0.551499738,0.480869986,APP,1.224141164,0.26626337,0.816899251,APP,1.05471163,0.84443714,0.94812645,APP,1.25606726,0.1668798,0.79613571,APP,1.013133393,0.951054061,0.987036857,APP,0.798768597,0.283488588,1.251927033,APP,0.866026373,0.444188351,1.154699246,APP,1.129182517,0.733942158,0.885596425,APP,0.472323081,9.04E-06,2.117194864,APP,0.551577084,0.400523949,1.812983225,APP,1.527610197,0.008157528,0.654617259,APP,1.053228751,0.790101759,0.949461358,APP,0.773193746,0.342739964,1.293336897,APP,3.895566855,0.23920555,0.256702051,APP,0.752252436,0.575379274,1.329340993,APP,2.013675052,0.009826857,0.496604454,APP,1.100437392,0.626928024,0.908729572,APP,1.345886263,0.124437208,0.743004835,APP,0.871733095,0.734339432,1.147140112,APP,0.590512572,0.119984934,1.693444049
ATF3,0.81501572,0.77343081,1.2269702,ATF3,1.03217163,0.96938515,0.96883112,ATF3,0.97426191,0.92218397,1.02641804,ATF3,1.2036789,0.23818771,0.83078635,ATF3,5.139546574,0.136426945,0.194569693,ATF3,4.24574172,0.02859734,0.23553011,ATF3,0.9076897,0.86227296,1.10169808,ATF3,0.72643372,0.37578954,1.37658808,ATF3,1.83380771,0.35562738,0.54531344,ATF3,1.78827413,0.63510205,0.55919838,ATF3,0.97159799,0.89805633,1.02923227,ATF3,0.86941123,0.38741688,1.15020369,ATF3,0.9696031,0.89409757,1.03134984,ATF3,0.702672239,0.649063908,1.42313862,ATF3,0.867679548,0.437093352,1.152499217,ATF3,1.47879372,0.14421282,0.67622684,ATF3,1.01221247,0.94058178,0.98793488,ATF3,1.2148133,0.386485464,0.823171759,ATF3,1.718446153,0.011253226,0.581921056,ATF3,1.12621697,0.526619646,0.887928371,ATF3,0.771728176,0.466409754,1.295793042,ATF3,0.92219216,0.608864733,1.084372698,ATF3,1.212758463,0.774042528,0.824566499,ATF3,0.995863945,0.978930846,1.004153233,ATF3,1.133386721,0.52318006,0.882311378,ATF3,1.099568378,0.72348458,0.909447761,ATF3,0.935156208,0.946605117,1.069340065,ATF3,0.474301979,0.168778859,2.108361432,ATF3,0.740557703,0.252005796,1.35033367,ATF3,0.774978202,0.194585706,1.290358874,ATF3,1.07476221,0.708954456,0.930438371,ATF3,2.47630283,0.034769213,0.403827831,ATF3,0.550062392,0.070267565,1.817975588
AVPR1A,0.76265805,0.71331652,1.31120363,AVPR1A,1.93154215,0.45126424,0.51772103,AVPR1A,1.06116108,0.82255813,0.942364,AVPR1A,0.94719946,0.72633265,1.05574384,AVPR1A,0.446643382,0.360818365,2.238922687,AVPR1A,1.50822791,0.48331376,0.66302977,AVPR1A,5.17338765,0.03257989,0.19329694,AVPR1A,0.88554766,0.7375097,1.1292447,AVPR1A,1.46803859,0.4744385,0.681181,AVPR1A,1.85463325,0.6141002,0.53919016,AVPR1A,1.43241484,0.11093891,0.69812178,AVPR1A,1.28422293,0.13524917,0.778681,AVPR1A,0.87986263,0.58036308,1.13654106,AVPR1A,0.754398829,0.797396163,1.325558791,AVPR1A,1.08166983,0.668133866,0.924496526,AVPR1A,1.73870178,0.049295,0.57514176,AVPR1A,0.79481169,0.15715888,1.25815965,AVPR1A,1.029689163,0.890771807,0.971166868,AVPR1A,0.956649733,0.836805572,1.04531467,AVPR1A,0.968313251,0.863669323,1.032723656,AVPR1A,1.246710326,0.536759992,0.802110947,AVPR1A,0.746859525,0.068715992,1.338939877,AVPR1A,1.258948403,0.731529086,0.794313728,AVPR1A,0.848538187,0.29109107,1.178497345,AVPR1A,1.334307059,0.14270467,0.749452679,AVPR1A,1.065408529,0.813302268,0.938607091,AVPR1A,4.015951219,0.230027604,0.249007009,AVPR1A,1.641892485,0.329557658,0.609053278,AVPR1A,1.370092134,0.227573735,0.729877922,AVPR1A,1.231722053,0.293078145,0.811871475,AVPR1A,1.339433508,0.13313139,0.746584279,AVPR1A,0.559498045,0.17646084,1.787316343,AVPR1A,1.201652061,0.57783486,0.832187646
BAX,1.56430644,0.55050122,0.63926093,BAX,3.80837893,0.23181037,0.26257891,BAX,0.70123524,0.18245749,1.42605498,BAX,0.99273843,0.962286,1.00731469,BAX,0.464594649,0.379453709,2.152413944,BAX,3.33520824,0.07035325,0.29983135,BAX,1.58913908,0.40956844,0.62927154,BAX,1.08371852,0.82432426,0.92274883,BAX,0.7330694,0.56303236,1.36412733,BAX,0.46813013,0.5355904,2.13615817,BAX,0.9784307,0.92276879,1.0220448,BAX,1.2681617,0.14233035,0.78854297,BAX,0.9990639,0.99678038,1.00093697,BAX,4.514971171,0.17144417,0.221485357,BAX,0.88954178,0.522368987,1.124174292,BAX,1.92895963,0.01618791,0.51841417,BAX,1.02695709,0.86863437,0.97375052,BAX,1.254227793,0.287121309,0.797303333,BAX,1.57816772,0.030842789,0.633646213,BAX,1.1207763,0.544660017,0.89223871,BAX,0.886793789,0.735678475,1.127657876,BAX,1.165017371,0.335810661,0.8583563,BAX,0.789940629,0.725479978,1.265917923,BAX,1.113325519,0.491926817,0.898209897,BAX,1.399508214,0.088658812,0.714536714,BAX,0.980040365,0.943213784,1.020366136,BAX,1.842792712,0.59911533,0.542654631,BAX,1.033562258,0.948766608,0.967527589,BAX,0.846409729,0.520693888,1.1814609,BAX,0.565414722,0.005706941,1.768613305,BAX,1.129713445,0.530515897,0.885180224,BAX,1.341259005,0.466248144,0.745568154,BAX,0.635828978,0.157477379,1.57274996
BCAP31,0.58912432,0.47492104,1.69743458,BCAP31,0.70889835,0.70637095,1.41063948,BCAP31,1.19397832,0.50798975,0.83753614,BCAP31,1.01716816,0.91260086,0.98312161,BCAP31,2.099161521,0.393314985,0.476380684,BCAP31,1.07096894,0.90280733,0.9337339,BCAP31,1.52816331,0.45773672,0.65438032,BCAP31,1.29600281,0.47368096,0.77160326,BCAP31,0.700341,0.52493148,1.42787585,BCAP31,0.47857586,0.54741839,2.08953288,BCAP31,0.70471726,0.12306277,1.41900882,BCAP31,1.05394533,0.74807823,0.94881582,BCAP31,1.59545217,0.04539901,0.62678156,BCAP31,1.016833581,0.984264658,0.983445097,BCAP31,1.124937819,0.524653169,0.888938022,BCAP31,0.87273631,0.61279084,1.14582147,BCAP31,0.98671623,0.93385597,1.01346261,BCAP31,1.316164973,0.200134967,0.759783174,BCAP31,1.475966213,0.067072523,0.677522284,BCAP31,0.919916898,0.65770546,1.087054713,BCAP31,1.452497801,0.305134866,0.688469201,BCAP31,1.257128879,0.15144628,0.79546339,BCAP31,0.435938953,0.240769481,2.293899167,BCAP31,1.502350137,0.009830135,0.665623795,BCAP31,1.321198753,0.154338125,0.756888392,BCAP31,1.706346879,0.049861323,0.586047311,BCAP31,0.706381587,0.732523793,1.415665439,BCAP31,0.802550566,0.663475141,1.246027407,BCAP31,0.786314321,0.352816094,1.271756056,BCAP31,1.118297724,0.569246206,0.894216253,BCAP31,0.845893845,0.387438462,1.182181435,BCAP31,0.815201009,0.61226303,1.226691318,BCAP31,1.874014319,0.066034906,0.533613852
BCL10,0.88150177,0.85886356,1.13442767,BCL10,0.48704848,0.41069543,2.05318371,BCL10,1.4614289,0.15449445,0.68426182,BCL10,0.84782129,0.28833615,1.17949385,BCL10,1.34365398,0.741086244,0.744239227,BCL10,2.14503506,0.20564844,0.46619285,BCL10,1.14047714,0.81355108,0.87682599,BCL10,1.31899922,0.4445159,0.75815056,BCL10,1.4081277,0.56666873,0.71016286,BCL10,0.47095209,0.53871881,2.12335823,BCL10,0.75253293,0.20778839,1.32884549,BCL10,0.80584316,0.18285117,1.24093627,BCL10,1.35748842,0.19098608,0.73665453,BCL10,1.937847328,0.47944583,0.516036525,BCL10,1.296577491,0.154605445,0.771261268,BCL10,1.40060121,0.20748716,0.71397911,BCL10,1.3270228,0.08352845,0.75356656,BCL10,1.431500785,0.092393398,0.698567553,BCL10,2.066113594,0.000958183,0.484000494,BCL10,1.040925197,0.831085147,0.960683825,BCL10,0.987179,0.97100806,1.012987513,BCL10,0.65033223,0.007438844,1.537675597,BCL10,1.947147907,0.322927736,0.513571669,BCL10,1.299770394,0.093517423,0.769366655,BCL10,0.828858676,0.339707211,1.206478293,BCL10,1.57310172,0.09684503,0.635686801,BCL10,3.458948488,0.282691081,0.289105202,BCL10,0.567271314,0.274449083,1.762824906,BCL10,1.168287915,0.548867636,0.855953389,BCL10,0.658914793,0.036317097,1.51764691,BCL10,0.795785006,0.240965867,1.256620811,BCL10,1.25802813,0.570418984,0.794894785,BCL10,0.422729233,0.011204223,2.365580429
